series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;GRU (48u, 12w, 100e, 32b);11,6262;3,6717;4,4343;3,6603;3,3970;4,1651;3,3905;False
B;GRU (48u, 12w, 150e, 32b);25,6096;2,7587;3,8221;2,7455;4,1995;4,8193;4,1985;False
B;GRU (48u, 12w, 30e, 64b);8,1797;3,6667;4,3186;3,6549;3,3568;4,0533;3,3502;False
B;GRU (48u, 12w, 50e, 64b);9,1296;3,7233;4,3330;3,7114;3,3176;4,0292;3,3112;False
B;GRU (48u, 12w, 100e, 64b);13,5486;3,6934;4,3227;3,6815;3,2973;4,0099;3,2907;False
B;GRU (48u, 12w, 150e, 64b);15,1782;3,6892;4,3153;3,6773;3,2901;4,0067;3,2835;False
B;GRU (48u, 18w, 30e, 16b);8,0174;3,7325;4,3469;3,7203;3,2876;4,0132;3,2812;False
B;GRU (48u, 18w, 50e, 16b);9,2007;3,6567;4,3360;3,6450;3,3312;4,0586;3,3244;False
B;GRU (48u, 18w, 100e, 16b);14,1858;3,6292;4,4207;3,6168;3,7664;4,5744;3,7637;False
B;GRU (48u, 18w, 150e, 16b);19,7142;3,3835;4,3370;3,3719;4,1481;4,8137;4,1506;False
B;GRU (48u, 18w, 30e, 32b);8,6573;3,7701;4,3628;3,7579;3,3137;4,0507;3,3072;False
B;GRU (48u, 18w, 50e, 32b);10,0453;3,6713;4,3643;3,6595;3,3246;4,0654;3,3179;False
B;GRU (48u, 18w, 100e, 32b);13,2703;3,6382;4,3225;3,6265;3,3413;4,0632;3,3345;False
B;GRU (48u, 18w, 150e, 32b);19,2070;3,7108;4,3399;3,6992;3,3716;4,1752;3,3648;False
B;GRU (48u, 18w, 30e, 64b);9,9974;3,8693;4,4786;3,8560;3,3489;4,1574;3,3421;False
B;GRU (48u, 18w, 50e, 64b);9,4230;3,7942;4,3817;3,7818;3,3195;4,0691;3,3130;False
B;GRU (48u, 18w, 100e, 64b);12,9805;3,7713;4,3744;3,7588;3,2699;4,0207;3,2636;False
B;GRU (48u, 18w, 150e, 64b);15,2920;3,6830;4,3834;3,6716;3,3205;4,0854;3,3135;False
B;GRU (48u, 24w, 30e, 16b);9,4398;3,7577;4,3624;3,7453;3,2822;4,0215;3,2759;False
B;GRU (48u, 24w, 50e, 16b);11,2252;3,7088;4,3346;3,6969;3,2857;4,0073;3,2791;False
B;GRU (48u, 24w, 100e, 16b);15,3564;2,5447;3,2578;2,5380;4,8669;5,4072;4,8693;False
B;GRU (48u, 24w, 150e, 16b);18,5514;1,8379;2,4942;1,8472;4,3646;4,9485;4,3497;False
B;GRU (48u, 24w, 30e, 32b);7,7318;3,7303;4,3327;3,7183;3,3308;4,0370;3,3243;False
B;GRU (48u, 24w, 50e, 32b);9,2544;3,7682;4,3706;3,7558;3,2792;4,0296;3,2730;False
B;GRU (48u, 24w, 100e, 32b);12,0670;3,6541;4,3050;3,6425;3,3329;4,0427;3,3260;False
B;GRU (48u, 24w, 150e, 32b);15,2641;2,9940;3,9159;2,9944;3,4136;4,0852;3,4112;False
B;GRU (48u, 24w, 30e, 64b);8,2740;3,7741;4,3598;3,7619;3,3318;4,0584;3,3253;False
B;GRU (48u, 24w, 50e, 64b);9,3153;3,7248;4,3296;3,7129;3,3366;4,0380;3,3301;False
B;GRU (48u, 24w, 100e, 64b);11,8175;3,7183;4,3329;3,7063;3,3081;4,0219;3,3017;False
B;GRU (48u, 24w, 150e, 64b);14,8440;3,7157;4,3326;3,7038;3,2832;4,0046;3,2766;False
B;GRU (64u, 3w, 30e, 16b);8,5754;3,6941;4,3125;3,6823;3,3346;4,0484;3,3280;False
B;GRU (64u, 3w, 50e, 16b);10,9244;3,6335;4,2887;3,6218;3,3286;4,0422;3,3218;False
B;GRU (64u, 3w, 100e, 16b);23,8115;3,5973;4,3148;3,5856;3,3538;4,1057;3,3469;False
B;GRU (64u, 3w, 150e, 16b);15,4980;3,5589;4,3676;3,5468;3,4828;4,2279;3,4771;False
B;GRU (64u, 3w, 30e, 32b);9,5215;3,6811;4,3017;3,6694;3,3662;4,0462;3,3596;False
B;GRU (64u, 3w, 50e, 32b);10,0402;3,6796;4,3018;3,6680;3,3519;4,0473;3,3452;False
B;GRU (64u, 3w, 100e, 32b);12,9394;3,6200;4,2739;3,6083;3,3432;4,0477;3,3364;False
B;GRU (64u, 3w, 150e, 32b);16,6755;3,6108;4,2656;3,5992;3,3507;4,0522;3,3440;False
B;GRU (64u, 3w, 30e, 64b);9,5605;3,7331;4,3293;3,7212;3,3623;4,0586;3,3556;False
B;GRU (64u, 3w, 50e, 64b);10,5705;3,6868;4,3046;3,6751;3,3618;4,0449;3,3551;False
B;GRU (64u, 3w, 100e, 64b);11,8471;3,6622;4,2958;3,6505;3,3369;4,0424;3,3303;False
B;GRU (64u, 3w, 150e, 64b);14,0536;3,6241;4,2749;3,6124;3,3462;4,0452;3,3394;False
B;GRU (64u, 6w, 30e, 16b);7,5715;3,6853;4,3305;3,6733;3,3027;4,0175;3,2961;False
B;GRU (64u, 6w, 50e, 16b);9,6952;3,4548;4,2494;3,4425;3,4179;4,1250;3,4114;False
B;GRU (64u, 6w, 100e, 16b);12,4662;4,0136;4,7780;3,9987;4,0912;4,8571;4,0809;False
B;GRU (64u, 6w, 150e, 16b);14,3894;5,4191;6,3424;5,3917;4,9494;6,1731;4,9361;False
B;GRU (64u, 6w, 30e, 32b);7,7975;3,7354;4,3405;3,7234;3,3130;4,0220;3,3066;False
B;GRU (64u, 6w, 50e, 32b);8,6801;3,6846;4,3310;3,6727;3,3019;4,0196;3,2953;False
B;GRU (64u, 6w, 100e, 32b);11,3449;3,3902;4,2475;3,3777;3,4481;4,1583;3,4418;False
B;GRU (64u, 6w, 150e, 32b);14,0676;3,1761;4,0552;3,1598;4,2409;4,9019;4,2372;False
B;GRU (64u, 6w, 30e, 64b);7,9203;3,7396;4,3390;3,7276;3,3288;4,0303;3,3223;False
